Rank,Name,Team,Position,Salary
448,Cal Clutterbuck,NYI,RW,1750000
,Laurent Brossoit,WPG,G,1750000
,Nicolas Deslauriers,PHI,LW,1750000
,Travis Boyd,ARI,LW,1750000
452,Jake Evans,MTL,C,1700000
,Ryan Hartman,MIN,RW,1700000
,Sean Durzi,ARI,D,1700000
,Yakov Trenin,COL,C,1700000
456,Anthony DeAngelo,CAR,D,1675000
,Blake Lizotte,LAK,C,1675000
458,Cameron York,PHI,D,1600000
,Eric Robinson,BUF,LW,1600000
,Pius Suter,VAN,C,1600000
461,Jack McBain,ARI,C,1599999
462,Alexandre Texier,CBJ,C,1525000
463,Alex Nedeljkovic,PIT,G,1500000
,Brandon Hagel,TBL,LW,1500000
,Eetu Luostarinen,FLA,C,1500000
,James Reimer,DET,G,1500000
,Jani Hakanpaa,DAL,D,1500000
,Kailer Yamamoto,SEA,C,1500000
,Matt Martin,NYI,LW,1500000
,Owen Tippett,PHI,RW,1500000
,Pheonix Copley,LAK,G,1500000
,Tomas Tatar,SEA,LW,1500000
473,Michael Rasmussen,DET,C,1460000
474,Eeli Tolvanen,SEA,RW,1450000
,Fabian Zetterlund,SJS,LW,1450000
476,Dylan Samberg,WPG,D,1400000
,Jordan Harris,MTL,D,1400000
,Keegan Kolesar,VGK,RW,1400000
,Rasmus Sandin,WAS,D,1400000
,Ryan Poehling,PHI,C,1400000
,Timothy Liljegren,TOR,D,1400000
,William Carrier,VGK,LW,1400000
483,Morgan Barron,WPG,C,1350000
,Nathan Bastian,NJD,RW,1350000
,Ryan Reaves,TOR,RW,1350000
486,Carl Grundstrom,LAK,RW,1300000
,Kevin Rooney,CGY,C,1300000
,Nic Dowd,WAS,C,1300000
489,Max Jones,ANA,LW,1295000
490,Joshua Brown,ARI,D,1275000
491,Alexei Toropchenko,STL,RW,1250000
,Jarred Tinordi,CHI,D,1250000
,Matthew Benning,SJS,D,1250000
494,Nicolas Aube-Kubel,WAS,RW,1225000
495,Colin Blackwell,CHI,C,1200000
,Joey Daccord,SEA,G,1200000
,Jon Merrill,MIN,D,1200000
498,Sam Lafferty,VAN,C,1150000
499,Christian Fischer,DET,C,1125000
,Nick Perbix,TBL,D,1125000
501,Anthony Stolarz,FLA,G,1100000
,Brandon Duhaime,COL,RW,1100000
,Brendan Smith,NJD,D,1100000
,Charlie Lindgren,WAS,G,1100000
,Conor Timmins,TOR,D,1100000
,Filip Zadina,SJS,RW,1100000
,Kyle Burroughs,SJS,D,1100000
,Marc Staal,PHI,D,1100000
,Mathieu Olivier,CBJ,RW,1100000
,Nick Cousins,FLA,C,1100000
,Nils Hoglander,VAN,LW,1100000
,Rafael Harvey-Pinard,MTL,LW,1100000
,Ross Johnston,ANA,LW,1100000
,Travis Hamonic,OTT,D,1100000
,Troy Stecher,EDM,D,1100000
516,Daniil Tarasov,CBJ,G,1050000
,Kevin Bahl,NJD,D,1050000
,Kevin Shattenkirk,BOS,D,1050000
,Logan O'Connor,COL,C,1050000
,Steven Lorentz,FLA,C,1050000
521,Andreas Englund,LAK,D,1000000
,Cameron Talbot,LAK,G,1000000
,Craig Smith,DAL,C,1000000
,Curtis Lazar,NJD,C,1000000
,Dmitry Kulikov,FLA,D,1000000
,James Van Riemsdyk,BOS,LW,1000000
,Juuso Valimaki,ARI,D,1000000
,Kevin Stenlund,FLA,C,1000000
,Logan Stanley,WPG,D,1000000
